# Equatorial spherical coordinates of masers, their parallaxes,
# proper motions in equatorial coordinates, and LSR velocities
#
# Sample:
#
# Objects from the results of running the optimal model of HMSFRs.
# Commented lines here are outliers found via that model.
#
# Descriptions:
#
#  1 name: Name of the object
#  2 alpha: Right ascension [HMS angle]
#  3 delta: Declination [DMS angle]
#  4 par: Trigonometric parallax [mas]
#  5 par_e: Uncertainty in `par` [mas]
#  6 mu_x: Eastward proper motion (1) [mas/yr]
#  7 mu_x_e: Uncertainty in `mu_x` [mas/yr]
#  8 mu_y: Northward proper motion [mas/yr]
#  9 mu_y_e: Uncertainty in `mu_y` [mas/yr]
# 10 v_lsr: Local Standard of Rest velocity [km/s]
# 11 v_lsr_e: Uncertainty in `v_lsr` [km/s]
# 12 type: Type of the object
# 13 source: Source of the data (2)
# 14 reference: Reference(s)
#
# Notes:
#   1. Motion in RA multiplied by cos(Dec)
#   2. Source is a group label:
#     New = New data (as of June 2022)
#     Reid = Reid et al. (2019)
#     VERA = The first VERA catalogue (2020)
#
name alpha delta par par_e mu_x mu_x_e mu_y mu_y_e v_lsr v_lsr_e type source reference
"Sgr B2" 17:47:20.1817 -28:23:03.889 0.133 0.038 -1.87 0.15 -3.74 0.18 62.0 5.0 HMSFR New "Sakai et al. (2021)"
G019.60-0.23 18:27:38.0737 -11:56:37.558 0.076 0.011 -3.11 0.16 -6.36 0.17 41 3 HMSFR New "Xu et al. (2021)"
G020.08-0.13 18:28:10.2867 -11:28:47.892 0.066 0.010 -3.14 0.14 -6.44 0.16 41 3 HMSFR New "Xu et al. (2021)"
G020.77-0.05 18:29:11.5819 -10:49:58.566 0.124 0.013 -3.27 0.26 -6.55 0.27 57 3 HMSFR New "Xu et al. (2021)"
G026.50+0.28 18:38:40.7518 -05:35:05.108 0.159 0.012 -2.51 0.34 -6.04 0.34 104 3 HMSFR New "Xu et al. (2021)"
G027.22+0.14 18:40:30.5420 -05:01:05.519 0.158 0.014 -2.21 0.17 -5.08 0.18 113 3 HMSFR New "Bian et al. (2022)"
G125.51+02.03 01:15:40.8027 64:46:40.766 0.145 0.023 -1.20 0.21 -0.33 0.27 -57.0 9.0 HMSFR "VERA" "Koide et al. (2019), Sakai et al. (2020b)"
"IRAS 21379+5106" 21:39:40.5500 51:20:34.000 0.262 0.031 -2.74 0.08 -2.87 0.18 -42.3 0.2 HMSFR "VERA" "Nakanishi et al. (2015)"
G000.31-00.20 17:47:09.1092 -28:46:16.278 0.342 0.042 0.21 0.39 -1.76 0.64 18 3 HMSFR "Reid" "J. Li et al. (in preparation)"
G000.37+00.03 17:46:21.4012 -28:35:39.821 0.125 0.047 -0.77 0.28 -2.67 0.40 37 10 HMSFR "Reid" "Sanna et al. (2014)"
# G000.67-00.03 17:47:20.0000 -28:22:40.000 0.129 0.012 -0.78 0.40 -4.26 0.40 62 5 HMSFR "Reid" "Reid et al. (2009)"
G001.00-00.23 17:48:55.2845 -28:11:48.240 0.090 0.057 -3.87 0.28 -6.23 0.56 2 5 HMSFR "Reid" "Zhang et al. (2019)"
# G001.14-00.12 17:48:48.5410 -28:01:11.350 0.194 0.161 0.82 0.33 -3.59 0.69 -16 3 HMSFR "Reid" "Zhang et al. (2019)"
G002.70+00.04 17:51:45.9766 -26:35:57.070 0.101 0.105 -3.13 0.87 -9.36 1.24 93 5 HMSFR "Reid" "Zhang et al. (2019)"
G005.88-00.39 18:00:30.2801 -24:04:04.576 0.334 0.020 0.18 0.34 -2.26 0.34 9 5 HMSFR "Reid" "Sato et al. (2014)"
G006.79-00.25 18:01:57.7525 -23:12:34.245 0.288 0.021 -0.30 0.30 -1.30 0.31 22 5 HMSFR "Reid" "A. Sanna et al. (in preparation)"
G007.47+00.05 18:02:13.1823 -22:27:58.981 0.049 0.006 -2.43 0.10 -4.43 0.16 -14 10 HMSFR "Reid" "Yamauchiet et al. (2016), Sanna et al. (2017)"
G008.34-01.00 18:08:04.0510 -22:13:26.566 0.640 0.040 0.36 0.76 -2.92 0.78 5 5 HMSFR "Reid" "Xu et al. (2018)"
G009.21-00.20 18:06:52.8421 -21:04:27.878 0.303 0.096 -0.41 0.45 -1.69 0.50 43 5 HMSFR "Reid" "J. Li et al. (in preparation)"
# G009.62+00.19 18:06:14.6600 -20:31:31.700 0.194 0.023 -0.58 0.13 -2.49 0.29 2 3 HMSFR "Reid" "Sanna et al. (2009)"
G010.32-00.15 18:09:01.4549 -20:05:07.854 0.343 0.035 -1.03 0.36 -2.42 0.50 10 5 HMSFR "Reid" "K. Rygl et al. (in preparation), K. Immer et al. (in preparation)"
# G010.47+00.02 18:08:38.2290 -19:51:50.262 0.117 0.008 -3.86 0.19 -6.40 0.14 69 5 HMSFR "Reid" "Sanna et al. (2014)"
# G010.62-00.33 18:10:17.9849 -19:54:04.646 0.362 0.076 -0.36 0.39 -1.86 0.38 -6 5 HMSFR "Reid" "K. Immer et al. (in preparation)"
# G010.62-00.38 18:10:28.5628 -19:55:48.738 0.202 0.019 -0.37 0.50 -0.60 0.25 -3 5 HMSFR "Reid" "Sanna et al. (2014)"
G011.10-00.11 18:10:28.2470 -19:22:30.216 0.246 0.014 -0.23 0.38 -2.01 0.41 29 5 HMSFR "Reid" "J. Li et al. (in preparation)"
G011.49-01.48 18:16:22.1327 -19:41:27.219 0.800 0.033 1.42 0.52 -0.60 0.65 11 3 HMSFR "Reid" "Wu et al. (2014)"
G011.91-00.61 18:13:58.1205 -18:54:20.278 0.297 0.050 0.66 0.69 -1.36 0.75 37 5 HMSFR "Reid" "Sato et al. (2014)"
G012.02-00.03 18:12:01.8400 -18:31:55.800 0.106 0.008 -4.11 0.11 -7.76 0.28 108 5 HMSFR "Reid" "Sanna et al. (2014)"
G012.68-00.18 18:13:54.7457 -18:01:46.588 0.416 0.028 -1.00 0.95 -2.85 0.95 58 10 HMSFR "Reid" "Immer et al. (2013)"
G012.81-00.19 18:14:14.0600 -17:55:11.300 0.343 0.037 -0.40 0.70 -0.25 0.70 34 5 HMSFR "Reid" "Immer et al. (2013)"
G012.88+00.48 18:11:51.4450 -17:31:29.412 0.404 0.044 0.15 0.43 -2.30 0.52 35 7 HMSFR "Reid" "Immer et al. (2013), Xu et al. (2011)"
G012.90-00.24 18:14:34.4366 -17:51:51.891 0.408 0.025 0.19 0.40 -2.52 0.40 36 5 HMSFR "Reid" "Immer et al. (2013)"
G012.90-00.26 18:14:39.5714 -17:52:00.382 0.396 0.032 -0.36 0.40 -2.22 0.40 37 5 HMSFR "Reid" "Immer et al. (2013)"
G013.71-00.08 18:15:36.9814 -17:04:32.108 0.264 0.014 -0.29 0.28 -2.16 0.29 44 5 HMSFR "Reid" "Sanna et al. (2014)"
G013.87+00.28 18:14:35.8356 -16:45:35.869 0.254 0.024 -0.25 2.00 -2.49 2.00 48 10 HMSFR "Reid" "Sato et al. (2014)"
G014.33-00.64 18:18:54.6744 -16:47:50.264 0.893 0.101 0.95 1.50 -2.40 1.30 22 5 HMSFR "Reid" "Sato et al. (2010)"
G014.63-00.57 18:19:15.5407 -16:29:45.786 0.546 0.022 0.22 1.20 -2.07 1.20 19 5 HMSFR "Reid" "Wu et al. (2014)"
G015.03-00.67 18:20:24.8111 -16:11:35.316 0.499 0.026 0.68 0.53 -1.42 0.54 22 3 HMSFR "Reid" "Xu et al. (2011), Chibueze et al. (2016)"
# G015.66-00.49 18:20:59.7470 -15:33:09.800 0.220 0.029 -1.16 0.24 -5.30 0.30 -4 5 HMSFR "Reid" "A. Sanna et al. (in preparation)"
G016.58-00.05 18:21:09.0840 -14:31:48.556 0.279 0.023 -1.13 0.34 -2.59 0.35 60 5 HMSFR "Reid" "Sato et al. (2014)"
G016.86-02.15 18:29:24.4085 -15:16:04.141 0.426 0.092 0.32 0.49 -2.48 0.56 17 3 HMSFR "Reid" "K. Rygl et al. (in preparation)"
G017.02-02.40 18:30:36.2931 -15:14:28.384 0.531 0.108 0.10 0.61 -2.81 0.76 22 3 HMSFR "Reid" "K. Rygl et al. (in preparation)"
G017.55-00.12 18:23:17.9084 -13:42:47.146 0.497 0.038 -0.04 1.04 -2.01 1.04 44 10 HMSFR "Reid" "A. Sanna et al. (in preparation)"
G017.63+00.15 18:22:26.3821 -13:30:11.951 0.669 0.019 -0.26 1.41 -1.53 1.41 25 10 HMSFR "Reid" "K. Rygl et al. (in preparation)"
G018.34+01.76 18:17:58.1254 -12:07:24.893 0.500 0.019 -0.32 0.53 -1.99 0.76 28 3 HMSFR "Reid" "K. Rygl et al. (in preparation)"
G018.87+00.05 18:25:11.3530 -12:27:36.546 0.297 0.049 -0.17 0.32 -1.90 0.37 39 3 HMSFR "Reid" "J. Li et al. (in preparation)"
G019.00-00.02 18:25:44.7778 -12:22:45.886 0.247 0.063 -1.77 0.29 -4.00 0.42 56 5 HMSFR "Reid" "L. Moscadelli et al. (in preparation)"
G019.36-00.03 18:26:25.7796 -12:03:53.267 0.352 0.069 -1.12 0.38 -2.50 0.46 27 3 HMSFR "Reid" "J. Li et al. (in preparation)"
G019.49+00.11 18:26:09.1691 -11:52:51.354 0.326 0.100 -3.60 0.42 -8.20 1.03 121 5 HMSFR "Reid" "L. Moscadelli et al. (in preparation)"
G022.35+00.06 18:31:44.1199 -09:22:12.336 0.231 0.108 -1.70 0.28 -3.90 0.31 80 5 HMSFR "Reid" "L. Moscadelli et al. (in preparation)"
G023.00-00.41 18:34:40.2800 -09:00:38.360 0.205 0.015 -1.72 0.22 -4.12 0.37 79 5 HMSFR "Reid" "Brunthaler et al. (2009), A. Bartkiewicz et al. (in preparation)"
G023.20-00.37 18:34:55.1794 -08:49:15.206 0.239 0.034 -1.45 0.50 -3.40 0.51 82 10 HMSFR "Reid" "A. Bartkiewicz et al. (in preparation)"
G023.25-00.24 18:34:31.2397 -08:42:47.306 0.169 0.051 -1.72 0.23 -4.09 0.28 63 3 HMSFR "Reid" "K. Immer et al. (in preparation)"
G023.38+00.18 18:33:14.3240 -08:23:57.500 0.208 0.025 -1.57 0.23 -3.92 0.26 75 3 HMSFR "Reid" "L. Moscadelli et al. (in preparation)"
G023.43-00.18 18:34:39.1870 -08:31:25.405 0.170 0.032 -1.93 0.15 -4.11 0.13 97 3 HMSFR "Reid" "Brunthaler et al. (2009)"
G023.65-00.12 18:34:51.5650 -08:18:21.305 0.313 0.039 -1.32 0.20 -2.96 0.20 81 3 HMSFR "Reid" "Bartkiewicz et al. (2008)"
