# Equatorial spherical coordinates of masers, their parallaxes,
# proper motions in equatorial coordinates, and LSR velocities
#
# Descriptions:
#
#  1 name: Name of the object
#  2 alpha: Right ascension [HMS angle]
#  3 delta: Declination [DMS angle]
#  4 par: Trigonometric parallax [mas]
#  5 e_par: Uncertainty in `par` [mas]
#  6 v_lsr: Local Standard of Rest velocity [km/s]
#  7 e_v_lsr: Uncertainty in `v_lsr` [km/s]
#  8 mu_x: Eastward proper motion (1) [mas/yr]
#  9 e_mu_x: Uncertainty in `mu_x` [mas/yr]
# 10 mu_y: Northward proper motion [mas/yr]
# 11 e_mu_y: Uncertainty in `mu_y` [mas/yr]
# 12 type: Type of the object
# 13 source: Source of the data (2)
# 14 reference: Reference(s)
#
# Notes:
#   1. Motion in RA multiplied by cos(Dec)
#   2. Source is a group label:
#     New = New data (as of June 2022)
#     Reid = Reid et al. (2019)
#     VERA = The first VERA catalogue (2020)
#
name alpha delta par e_par mu_x e_mu_x mu_y e_mu_y v_lsr e_v_lsr type source reference
#
# Objects from the first VERA catalogue (2020) that
# are identified with objects from Reid et al (2019):
#
# - under the same name:
#
G005.88-00.39 18:00:30.3100 -24:04:04.500 0.78 0.05 -0.17 0.60 -0.95 0.48 9.0 3.0 SFR "VERA" "Motogi et al. (2011)"
G005.88-00.39 18:00:30.2801 -24:04:04.576 0.334 0.020 0.18 0.34 -2.26 0.34 9 5 HMSFR "Reid" "Sato et al. (2014)"
G014.33-00.64 18:18:54.6532 -16:47:50.077 0.893 0.101 0.95 2.00 -2.50 2.00 22.0 5.0 SFR "VERA" "Sato et al. (2010b)"
G014.33-00.64 18:18:54.6744 -16:47:50.264 0.893 0.101 0.95 1.50 -2.40 1.30 22 5 HMSFR "Reid" "Sato et al. (2010)"
G048.60+00.02 19:20:31.1772 13:55:25.257 0.199 0.007 -2.76 0.04 -5.28 0.11 19.0 1.0 SFR "VERA" "Nagayama et al. (2011a)"
G048.60+00.02 19:20:31.1760 +13:55:25.210 0.093 0.005 -2.89 0.13 -5.50 0.13 18 5 HMSFR "Reid" "Zhang et al. (2013)"
